,Sesvete,3,92600
0,Donji Grad,5,130000.0
1,Donji Grad,28,40999.0
2,Donji Grad,5,245000.0
3,Donji Grad,62,102000.0
4,Trešnjevka - Jug,55,135000.0
5,Maksimir,15,
6,Donji Grad,3,75000.0
7,Trešnjevka - Sjever,5,79500.0
8,Donja Dubrava,1,59000.0
9,Trešnjevka - Sjever,4,96050.0
10,Maksimir,88,157000.0
11,Donji Grad,3,160000.0
12,Trešnjevka - Jug,107,160000.0
13,Donji Grad,80,180000.0
14,Trešnjevka - Sjever,96,200000.0
15,Trešnjevka - Sjever,2,123300.0
16,Donji Grad,66,170000.0
17,Donji Grad,30,60000.0
18,Donji Grad,155,310000.0
19,Trešnjevka - Sjever,111,185000.0
20,Donji Grad,2,180000.0
21,Maksimir,1,175000.0
22,Novi Zagreb - Zapad,2,130000.0
23,Podsljeme,2,220000.0
24,Trnje,2,189000.0
25,Maksimir,15,
26,Donji Grad,4,249000.0
27,Novi Zagreb - Istok,128,
28,Maksimir,88,157000.0
29,Donji Grad,240,295000.0
30,Donji Grad,80,149999.0
31,Donji Grad,7,215000.0
32,Donji Grad,4,50000.0
33,Maksimir,112,275000.0
34,Donji Grad,93,195000.0
35,Trešnjevka - Jug,51,79999.0
36,Maksimir,1,210000.0
37,Maksimir,110,230000.0
38,Trešnjevka - Sjever,111,185000.0
39,Novi Zagreb - Zapad,88,178000.0
40,Maksimir,1,175000.0
41,Trnje,2,189000.0
42,Maksimir,15,
43,Donji Grad,4,249000.0
44,Trešnjevka - Sjever,73,140000.0
45,Podsljeme,65,150000.0
46,Trešnjevka - Jug,5,110000.0
47,Novi Zagreb - Istok,128,
48,Gornja Dubrava,95,124000.0
49,Maksimir,153,147000.0
50,Donji Grad,3,115000.0
51,Donji Grad,7,215000.0
52,Donji Grad,93,195000.0
53,Trešnjevka - Jug,51,79999.0
54,Trnje,1,118900.0
55,Maksimir,110,230000.0
56,Novi Zagreb - Zapad,57,115000.0
57,Trnje,5,306000.0
58,Stenjevec,5,110000.0
59,Trešnjevka - Jug,40,69000.0
60,Trešnjevka - Sjever,70,112000.0
61,Sesvete,130,153000.0
62,Novi Zagreb - Zapad,62,90683.0
63,Donji Grad,42,129000.0
64,Maksimir,29,72000.0
65,Trešnjevka - Sjever,65,110000.0
66,Stenjevec,73,130000.0
67,Trešnjevka - Jug,78,185000.0
68,Maksimir,50,145000.0
69,Novi Zagreb - Zapad,39,77500.0
70,Trešnjevka - Jug,82,169000.0
71,Trešnjevka - Jug,50,79500.0
72,Sesvete,3,87900.0
73,Trnje,4,150000.0
74,Novi Zagreb - Zapad,35,59000.0
75,Trešnjevka - Jug,50,79500.0
76,Novi Zagreb - Zapad,32,54000.0
77,Donji Grad,42,129000.0
78,Novi Zagreb - Istok,128,
79,Novi Zagreb - Zapad,63,99000.0
80,Trešnjevka - Jug,79,115000.0
81,Trešnjevka - Sjever,65,110000.0
82,Trešnjevka - Sjever,80,125000.0
83,Donji Grad,98,210000.0
84,Gornja Dubrava,2,105000.0
85,Novi Zagreb - Zapad,4,97000.0
86,Maksimir,91,265640.0
87,Maksimir,42,85000.0
88,Maksimir,15,
89,Trnje,3,170000.0
90,Trešnjevka - Sjever,117,245000.0
91,Novi Zagreb - Zapad,50,57000.0
92,Podsljeme,4,160000.0
93,Trešnjevka - Jug,2,104000.0
94,Donji Grad,3,92000.0
95,Maksimir,57,168200.0
96,Stenjevec,5,89000.0
97,Trešnjevka - Jug,16,99000.0
98,Maksimir,93,269700.0
99,Novi Zagreb - Zapad,2,169900.0
100,Donji Grad,3,110000.0
101,Trešnjevka - Sjever,87,159000.0
102,Trešnjevka - Sjever,4,87000.0
103,Trešnjevka - Sjever,93,186600.0
104,Trešnjevka - Sjever,3,124000.0
105,Trešnjevka - Jug,106,277160.0
106,Donji Grad,83,178500.0
107,Novi Zagreb - Zapad,101,184576.0
108,Trešnjevka - Sjever,89,175000.0
109,Stenjevec,1,168000.0
110,Trnje,4,150000.0
111,Novi Zagreb - Zapad,88,204539.0
112,Trešnjevka - Sjever,90,228250.0
113,Trešnjevka - Sjever,82,181148.0
114,Novi Zagreb - Zapad,50,105000.0
115,Trešnjevka - Jug,90,235742.0
116,Trešnjevka - Sjever,2,129000.0
117,Trešnjevka - Jug,42,74000.0
118,Trnje,58,145000.0
119,Trešnjevka - Jug,56,115000.0
120,Trešnjevka - Sjever,90,180136.0
121,Trešnjevka - Sjever,85,161000.0
122,Trešnjevka - Sjever,82,182138.0
123,Trešnjevka - Sjever,85,161000.0
124,Trešnjevka - Sjever,83,184536.0
125,Trešnjevka - Jug,72,155000.0
126,Novi Zagreb - Zapad,67,104000.0
127,Stenjevec,5,
128,Novi Zagreb - Zapad,79,183931.0
129,Donji Grad,3,190000.0
130,Trešnjevka - Jug,52,137592.0
131,Trešnjevka - Jug,58,80000.0
132,Maksimir,4,155000.0
133,Stenjevec,63,123600.0
134,Novi Zagreb - Istok,9,78999.0
135,Donji Grad,5,198000.0
136,Stenjevec,4,110000.0
137,Donji Grad,4,380000.0
138,Donji Grad,103,199000.0
139,Stenjevec,5,125000.0
140,Gornja Dubrava,3,101805.0
141,Donji Grad,98,189000.0
142,Trešnjevka - Jug,5,225000.0
143,Donji Grad,4,215000.0
144,Novi Zagreb - Istok,6,89900.0
145,Donji Grad,5,195000.0
146,Podsljeme,100,170000.0
147,Stenjevec,70,124000.0
148,Novi Zagreb - Istok,7,87250.0
149,Trnje,7,170000.0
150,Trnje,66,139000.0
151,Donji Grad,5,216000.0
152,Trešnjevka - Jug,9,105000.0
153,Novi Zagreb - Istok,76,105000.0
154,Stenjevec,1,112000.0
155,Sesvete,98,99000.0
156,Trešnjevka - Jug,3,89900.0
157,Novi Zagreb - Zapad,3,1900.0
158,Trešnjevka - Jug,3,135000.0
159,Trešnjevka - Jug,4,113000.0
160,Trešnjevka - Jug,54,112000.0
161,Trešnjevka - Jug,126,259000.0
162,Trešnjevka - Jug,88,175000.0
163,Stenjevec,4,70246.0
164,Trnje,3,185000.0
165,Trešnjevka - Jug,3,163000.0
166,Maksimir,1,270000.0
167,Novi Zagreb - Istok,97,155000.0
168,Novi Zagreb - Istok,4,189000.0
169,Stenjevec,6,96780.0
170,Trešnjevka - Jug,72,150000.0
171,Trnje,2,189900.0
172,Trešnjevka - Jug,3,92000.0
173,Novi Zagreb - Zapad,91,1790.0
174,Trešnjevka - Sjever,121,115000.0
175,Trešnjevka - Sjever,4,200000.0
176,Maksimir,132,220000.0
177,Maksimir,2,130000.0
178,Donji Grad,4,158000.0
179,Maksimir,200,199000.0
180,Sesvete,50,72000.0
181,Maksimir,115,130000.0
182,Maksimir,118,229500.0
183,Novi Zagreb - Zapad,36,60000.0
184,Sesvete,75,102000.0
185,Maksimir,2,130000.0
186,Trešnjevka - Jug,4,245000.0
187,Gornja Dubrava,101,125000.0
188,Maksimir,2,180000.0
189,Maksimir,1980,50000.0
190,Novi Zagreb - Istok,7,87250.0
191,Trnje,61,125000.0
192,Podsljeme,237,389000.0
193,Novi Zagreb - Zapad,75,140000.0
194,Donji Grad,3,190000.0
195,Sesvete,75,120000.0
196,Podsljeme,90,160000.0
197,Donji Grad,92,187000.0
198,Trešnjevka - Jug,3,225000.0
199,Novi Zagreb - Istok,2,138000.0
200,Trešnjevka - Sjever,55,96200.0
201,Podsljeme,154,245000.0
202,Trešnjevka - Jug,2,266041.0
203,Donji Grad,4,93500.0
204,Stenjevec,4,97000.0
205,Trešnjevka - Sjever,85,129000.0
206,Stenjevec,3,85200.0
207,Donji Grad,2,330000.0
208,Donji Grad,270,485000.0
209,Novi Zagreb - Zapad,5,116000.0
210,Maksimir,88,157000.0
211,Donja Dubrava,1,140000.0
212,Stenjevec,5,133000.0
213,Trnje,102,150000.0
214,Trešnjevka - Jug,3,225000.0
215,Novi Zagreb - Zapad,2,58000.0
216,Novi Zagreb - Istok,2,138000.0
217,Maksimir,3,195000.0
218,Trešnjevka - Sjever,55,96200.0
219,Trešnjevka - Jug,2,266041.0
220,Donji Grad,4,93500.0
221,Maksimir,15,
222,Stenjevec,4,97000.0
223,Donji Grad,4,215000.0
224,Trešnjevka - Sjever,85,129000.0
225,Trešnjevka - Sjever,59,155480.0
226,Novi Zagreb - Istok,4,63410.0
227,Maksimir,15,
228,Novi Zagreb - Zapad,122,195458.0
229,Trešnjevka - Sjever,56,146744.0
230,Trešnjevka - Sjever,47,119750.0
231,Trešnjevka - Sjever,176,484880.0
232,Novi Zagreb - Zapad,71,118008.0
233,Trešnjevka - Sjever,92,231800.0
234,Trešnjevka - Sjever,81,180136.0
235,Novi Zagreb - Zapad,64,108193.0
236,Trešnjevka - Sjever,45,119780.0
237,Trešnjevka - Sjever,55,144092.0
238,Trešnjevka - Sjever,111,300996.0
239,Novi Zagreb - Zapad,79,150556.0
240,Novi Zagreb - Istok,4,81546.0
241,Trešnjevka - Sjever,82,182138.0
242,Trešnjevka - Sjever,81,203975.0
243,Trešnjevka - Sjever,59,155480.0
244,Novi Zagreb - Istok,4,63410.0
245,Novi Zagreb - Zapad,122,195458.0
246,Trešnjevka - Sjever,56,146744.0
247,Trešnjevka - Sjever,47,119750.0
248,Trešnjevka - Sjever,176,484880.0
249,Novi Zagreb - Zapad,71,118008.0
250,Trešnjevka - Sjever,92,231800.0
251,Trešnjevka - Sjever,81,180136.0
252,Novi Zagreb - Zapad,64,108193.0
253,Trešnjevka - Sjever,45,119780.0
254,Trešnjevka - Sjever,55,144092.0
255,Trešnjevka - Sjever,111,300996.0
256,Novi Zagreb - Zapad,79,150556.0
257,Novi Zagreb - Istok,4,81546.0
258,Trešnjevka - Sjever,82,182138.0
259,Trešnjevka - Sjever,81,203975.0
260,Novi Zagreb - Istok,4,78953.0
261,Trnje,53,110000.0
262,Novi Zagreb - Zapad,76,146205.0
263,Donji Grad,1,390000.0
264,Novi Zagreb - Istok,4,80740.0
265,Novi Zagreb - Zapad,88,167447.0
266,Stenjevec,5,
267,Novi Zagreb - Zapad,93,166523.0
268,Trešnjevka - Sjever,2019,
269,Novi Zagreb - Istok,5,63278.0
270,Novi Zagreb - Zapad,63,121467.0
271,Novi Zagreb - Zapad,55,97527.0
272,Novi Zagreb - Zapad,54,97416.0
273,Stenjevec,63,69000.0
274,Donji Grad,3,295000.0
275,Novi Zagreb - Zapad,42,78033.0
276,Novi Zagreb - Zapad,65,124146.0
277,Novi Zagreb - Istok,4,109198.0
278,Donji Grad,2,429000.0
279,Novi Zagreb - Zapad,55,97527.0
280,Novi Zagreb - Zapad,55,90000.0
281,Novi Zagreb - Istok,4,104331.0
